007B0B3C-37EB-4646-8789-8D2D821B57A9#appfire#8EE6C65E-0924-4898-AF69-4A0B6D508CFC#appfire#productStock#appfire#INT#appfire#10#appfire#0#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Present stock","Finders":"false","Widgets":"numberfield","WidgetDisplayName":"undefined","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"undefined","MinValue":"-2147483648","MaxValue":"2147483647","ErrorMessage":"","Name":"productStock"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#5#appfire##appfire##appfire#0#appfire#1
091F4E86-9153-4927-A019-947A3D6B8EAF#appfire#D49C6085-2004-410E-899D-65C39215A751#appfire#latitude#appfire#VARCHAR#appfire#64#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Latitude","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"64","ErrorMessage":"","Finders":"false","Name":"latitude"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#11#appfire#Geo#appfire##appfire#0#appfire#1
0944D280-9665-4063-BBE7-4C3BF4529742#appfire#6ED1157C-101E-47CF-BBCB-7252A471ECAF#appfire#versionId#appfire#INT#appfire#11#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#-1#appfire#1#appfire#column seq#appfire#{"DisplayName":"versionId","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"numberfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"versionId"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#9#appfire##appfire##appfire#0#appfire#1
0945C6BC-8112-41F1-9A8E-150498A568CE#appfire#A720D83C-B9DB-4168-A418-62497561FA8D#appfire#createdBy#appfire#VARCHAR#appfire#64#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#-1#appfire#1#appfire#column seq#appfire#{"DisplayName":"createdBy","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"createdBy"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#18#appfire##appfire##appfire#0#appfire#1
0990709D-7067-44DC-AC70-860CD56A3A73#appfire#A720D83C-B9DB-4168-A418-62497561FA8D#appfire#updatedDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedDate"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#21#appfire##appfire##appfire#0#appfire#1
09E8F23E-B482-43B1-AE3B-46AA7A1B7418#appfire#1DD01C54-0093-4E77-ABEC-EC745147E758#appfire#commData#appfire#TEXT#appfire##appfire#0#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#1#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Communication Data","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"","ErrorMessage":"please enter communication details","Finders":"false","Name":"commData"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#4#appfire##appfire##appfire#0#appfire#1
0A33EAE6-6DCF-45B5-8E93-200DFAB4AB16#appfire#86BFA3F9-06CE-4C06-9474-9F582BB9C51E#appfire#villageName#appfire#VARCHAR#appfire#128#appfire#0#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#1#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Village Name","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"128","ErrorMessage":"","Finders":"false","Name":"villageName"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#7#appfire##appfire##appfire#0#appfire#1
0AA30191-2605-4295-9507-16D2900ACEDC#appfire#AE5CCA87-0933-4CE8-A032-D11269170743#appfire#activeStatus#appfire#INT#appfire#1#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1#appfire#1#appfire#column seq#appfire#{"DisplayName":"activeStatus","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"numberfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"activeStatus"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#12#appfire##appfire##appfire#0#appfire#1
0B371EEF-68D1-44AD-B02B-B0BFC2C1C4C8#appfire#5BA2B1E4-B84E-4D5A-B4AB-BF8E90A23F9B#appfire#createdBy#appfire#VARCHAR#appfire#64#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#-1#appfire#1#appfire#column seq#appfire#{"DisplayName":"createdBy","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"createdBy"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#10#appfire##appfire##appfire#0#appfire#1
0B6EBE0C-175D-439C-B233-CFE9CA167283#appfire#7814CC7D-28FF-489D-ADF6-311C02AE8C23#appfire#currencyName#appfire#VARCHAR#appfire#128#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Currency Name","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"128","ErrorMessage":"","Finders":"false","Name":"currencyName"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#8#appfire#Currency#appfire##appfire#0#appfire#1
0BD286E7-1105-4A25-B43C-4B37B3573FFD#appfire#D49C6085-2004-410E-899D-65C39215A751#appfire#cityId#appfire#VARCHAR#appfire#64#appfire#0#appfire#0#appfire#0#appfire#0#appfire#1#appfire#cityId#appfire#ast_City_M#appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"City","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"combo","WidgetDisplayName":"ComboBox","MinValue":"0","MaxValue":"64","ErrorMessage":"Please enter City","Finders":"false","Name":"cityId"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#9#appfire##appfire##appfire#0#appfire#1
